-0.8211    0.8918   0.01441  0.004529         0         0         0         0    0.6556       1.8
-0.7869    0.8668   0.01775  0.006106         0         0         0         0     0.651       1.9
-0.7477    0.8362   0.02121   0.00831         0         0         0         0    0.6444         2
-0.7088    0.8041   0.02457   0.01033         0         0         0         0    0.6361       2.1
-0.6636    0.7626   0.02799   0.01359         0         0         0         0    0.6234       2.2
-0.6172    0.7185   0.03145   0.01625         0         0         0         0     0.607       2.3
-0.5728    0.6729     0.034    0.0189         0         0         0         0    0.5867       2.4
-0.5298    0.6279   0.03476   0.02026         0         0         0         0    0.5646       2.5
-0.4909    0.5868   0.03368   0.02027         0         0         0         0    0.5436       2.6
-0.4471    0.5369   0.03228   0.02083         0         0         0         0    0.5115       2.7
-0.4105    0.4943   0.03043   0.01991         0         0         0         0    0.4793       2.8
-0.3793    0.4571   0.02736   0.01866         0         0         0         0    0.4509       2.9
